your,j ɔ ɹ,923
way,w eɪ,908
well,w ɛ l,897
down,d aʊ n,895
should,ʃ ʊ d,888
because,b ɪ k ɔ z,883
each,i tʃ,877
just,dʒ ʌ s t,872
those,ð oʊ z,850
people,p i p ə l,847
how,h aʊ,834
too,t u,834
little,l ɪ t ə l,831
state,s t eɪ t,807
good,ɡ ʊ d,806
very,v ɛ ɹ i,796
make,m eɪ k,794
world,w ɝ l d,787
still,s t ɪ l,782
own,oʊ n,772
see,s i,772
men,m ɛ n,763
work,w ɝ k,762
long,l ɔ ŋ,752
here,h i ɹ,750
get,ɡ ɛ t,749
between,b ɪ t w i n,730
both,b oʊ θ,730
life,l aɪ f,715
being,b i ɪ ŋ,712
under,ʌ n d ɝ,707
never,n ɛ v ɝ,697
day,d eɪ,687
same,s eɪ m,686
another,ə n ʌ ð ɝ,684
know,n oʊ,683
while,w aɪ l,680
last,l æ s t,676
us,ʌ s,675
might,m aɪ t,672
great,ɡ ɹ eɪ t,665
old,oʊ l d,661
year,j ɪ ɹ,658
off,ɔ f,639
come,k ʌ m,630
since,s ɪ n s,628
against,ə ɡ ɛ n s t,627
go,ɡ oʊ,626
came,k eɪ m,622
right,ɹ aɪ t,613
used,j u z d,611
take,t eɪ k,610
three,θ ɹ i,610
himself,h ɪ m s ɛ l f,603
states,s t eɪ t s,603
few,f j u,601
house,h aʊ s,591
use,j u s,591
during,d ʊ ɹ ɪ ŋ,585
without,w ɪ θ aʊ t,583
again,ə ɡ ɛ n,577
place,p l eɪ s,570
american,ə m ɛ ɹ ə k ə n,569
around,ɝ aʊ n d,562
however,h aʊ ɛ v ɝ,552
home,h oʊ m,547
small,s m ɔ l,542
found,f aʊ n d,536
thought,θ ɔ t,517
went,w ɛ n t,507
say,s eɪ,504
part,p ɑ ɹ t,500
once,w ʌ n s,499
general,dʒ ɛ n ɝ ə l,498
high,h aɪ,497
upon,ə p ɑ n,495
school,s k u l,493
every,ɛ v ɝ i,491
does,d ʌ z,485
got,ɡ ɑ t,482
united,j u n aɪ t ə d,482
left,l ɛ f t,480
number,n ʌ m b ɝ,472
course,k ɔ ɹ s,465
war,w ɔ ɹ,464
until,ə n t ɪ l,461
always,ɔ l w eɪ z,458
away,ə w eɪ,456
something,s ʌ m θ ɪ ŋ,450
fact,f æ k t,447
water,w ɔ t ɝ,445
though,ð oʊ,440
public,p ʌ b l ɪ k,438
less,l ɛ s,437
put,p ʊ t,437
think,θ ɪ ŋ k,433
almost,ɔ l m oʊ s t,432
hand,h æ n d,431
enough,ɪ n ʌ f,430
far,f ɑ ɹ,426
took,t ʊ k,426
head,h ɛ d,424
yet,j ɛ t,419
government,ɡ ʌ v ɝ m ə n t,418
system,s ɪ s t ə m,416
better,b ɛ t ɝ,414
set,s ɛ t,414
told,t oʊ l d,413
night,n aɪ t,411
nothing,n ʌ θ ɪ ŋ,411
end,ɛ n d,409
why,w aɪ,404
called,k ɔ l d,401
eyes,aɪ z,401
find,f aɪ n d,400
going,ɡ oʊ ɪ ŋ,399
look,l ʊ k,399
asked,æ s k t,398
later,l eɪ t ɝ,397
knew,n u,395
point,p ɔɪ n t,395
next,n ɛ k s t,394
program,p ɹ oʊ ɡ ɹ æ m,394
business,b ɪ z n ə s,393
city,s ɪ t i,393
group,ɡ ɹ u p,390
give,ɡ ɪ v,389
toward,t ə w ɔ ɹ d,386
young,j ʌ ŋ,385
days,d eɪ z,384
let,l ɛ t,384
room,ɹ u m,384
president,p ɹ ɛ z ə d ɛ n t,382
side,s aɪ d,381
social,s oʊ ʃ ə l,380
given,ɡ ɪ v ə n,377
present,p ɹ ɛ z ə n t,377
several,s ɛ v ɹ ə l,377
order,ɔ ɹ d ɝ,376
national,n æ ʃ ə n ə l,375
possible,p ɑ s ə b ə l,374
rather,ɹ æ ð ɝ,373
second,s ɛ k ə n d,373
face,f eɪ s,371
per,p ɝ,371
among,ə m ʌ ŋ,370
form,f ɔ ɹ m,370
important,ɪ m p ɔ ɹ t ə n t,369
often,ɔ f ə n,369
things,θ ɪ ŋ z,368
looked,l ʊ k t,367
early,ɝ l i,366
white,w aɪ t,365
case,k eɪ s,362
john,dʒ ɑ n,362
large,l ɑ ɹ dʒ,361
big,b ɪ ɡ,360
four,f ɔ ɹ,360
need,n i d,360
become,b ɪ k ʌ m,359
within,w ɪ ð ɪ n,359
felt,f ɛ l t,357
along,ə l ɔ ŋ,355
children,tʃ ɪ l d ɹ ə n,355
saw,s ɔ,352
best,b ɛ s t,351
church,tʃ ɝ tʃ,348
ever,ɛ v ɝ,344
least,l i s t,343
power,p aʊ ɝ,342
development,d ɪ v ɛ l ə p m ə n t,334
light,l aɪ t,333
seemed,s i m d,333
thing,θ ɪ ŋ,333
family,f æ m ə l i,331
interest,ɪ n t ɹ ə s t,330
want,w ɑ n t,328
members,m ɛ m b ɝ z,325
mind,m aɪ n d,325
area,ɛ ɹ i ə,324
country,k ʌ n t ɹ i,324
others,ʌ ð ɝ z,323
although,ɔ l ð oʊ,321
turned,t ɝ n d,320
done,d ʌ n,319
open,oʊ p ə n,318
god,ɡ ɑ d,316
service,s ɝ v ə s,315
certain,s ɝ t ə n,313
kind,k aɪ n d,313
problem,p ɹ ɑ b l ə m,313
began,b ɪ ɡ æ n,312
different,d ɪ f ɝ ə n t,312
door,d ɔ ɹ,312
thus,ð ʌ s,312
help,h ɛ l p,311
sense,s ɛ n s,311
means,m i n z,310
whole,h oʊ l,309
matter,m æ t ɝ,308
perhaps,p ɝ h æ p s,307
itself,ɪ t s ɛ l f,304
york,j ɔ ɹ k,302
times,t aɪ m z,300
human,h j u m ə n,299
law,l ɔ,299
line,l aɪ n,298
above,ə b ʌ v,296
name,n eɪ m,294
example,ɪ ɡ z æ m p ə l,292
action,æ k ʃ ə n,291
company,k ʌ m p ə n i,290
hands,h æ n d z,289
local,l oʊ k ə l,288
show,ʃ oʊ,288
five,f aɪ v,286
history,h ɪ s t ɝ i,286
whether,w ɛ ð ɝ,286
gave,ɡ eɪ v,285
either,i ð ɝ,284
today,t ə d eɪ,284
act,æ k t,283
feet,f i t,283
across,ə k ɹ ɔ s,282
past,p æ s t,281
quite,k w aɪ t,281
taken,t eɪ k ə n,281
anything,ɛ n i θ ɪ ŋ,280
having,h æ v ɪ ŋ,279
seen,s i n,279
death,d ɛ θ,277
body,b ɑ d i,276
experience,ɪ k s p ɪ ɹ i ə n s,276
half,h æ f,275
really,ɹ ɪ l i,275
week,w i k,275
car,k ɑ ɹ,274
field,f i l d,274
word,w ɝ d,274
words,w ɝ d z,274
already,ɔ l ɹ ɛ d i,273
themselves,ð ɛ m s ɛ l v z,270
information,ɪ n f ɝ m eɪ ʃ ə n,269
shall,ʃ æ l,268
tell,t ɛ l,268
college,k ɑ l ɪ dʒ,267
together,t ə ɡ ɛ ð ɝ,267
money,m ʌ n i,265
period,p ɪ ɹ i ə d,265
held,h ɛ l d,264
keep,k i p,264
sure,ʃ ʊ ɹ,263
probably,p ɹ ɑ b ə b l i,261
free,f ɹ i,259
seems,s i m z,259
behind,b ɪ h aɪ n d,258
cannot,k æ n ɑ t,258
political,p ə l ɪ t ə k ə l,258
real,ɹ i l,258
air,ɛ ɹ,257
question,k w ɛ s tʃ ə n,257
making,m eɪ k ɪ ŋ,255
office,ɔ f ə s,255
brought,b ɹ ɔ t,253
miss,m ɪ s,253
whose,h u z,251
special,s p ɛ ʃ ə l,250
heard,h ɝ d,247
major,m eɪ dʒ ɝ,247
problems,p ɹ ɑ b l ə m z,247
ago,ə ɡ oʊ,246
became,b ɪ k eɪ m,246
federal,f ɛ d ɝ ə l,246
moment,m oʊ m ə n t,246
study,s t ʌ d i,246
available,ə v eɪ l ə b ə l,245
known,n oʊ n,245
result,ɹ ɪ z ʌ l t,244
street,s t ɹ i t,244
economic,ɛ k ə n ɑ m ɪ k,243
boy,b ɔɪ,242
position,p ə z ɪ ʃ ə n,241
reason,ɹ i z ə n,241
change,tʃ eɪ n dʒ,240
south,s aʊ θ,240
board,b ɔ ɹ d,239
individual,ɪ n d ə v ɪ dʒ ə w ə l,239
job,dʒ ɑ b,238
am,æ m,237
society,s ə s aɪ ə t i,237
areas,ɛ ɹ i ə z,236
west,w ɛ s t,235
close,k l oʊ s,234
turn,t ɝ n,233
community,k ə m j u n ə t i,231
love,l ʌ v,231
true,t ɹ u,231
court,k ɔ ɹ t,230
force,f ɔ ɹ s,230
full,f ʊ l,230
cost,k ɑ s t,229
seem,s i m,229
wife,w aɪ f,228
age,eɪ dʒ,227
future,f j u tʃ ɝ,227
voice,v ɔɪ s,226
wanted,w ɑ n t ə d,226
department,d ɪ p ɑ ɹ t m ə n t,225
center,s ɛ n t ɝ,224
woman,w ʊ m ə n,224
common,k ɑ m ə n,223
control,k ə n t ɹ oʊ l,223
necessary,n ɛ s ə s ɛ ɹ i,222
policy,p ɑ l ə s i,222
following,f ɑ l oʊ ɪ ŋ,221
front,f ɹ ʌ n t,221
sometimes,s ə m t aɪ m z,221
girl,ɡ ɝ l,220
six,s ɪ k s,220
clear,k l ɪ ɹ,219
further,f ɝ ð ɝ,218
land,l æ n d,218
able,eɪ b ə l,216
feel,f i l,216
mother,m ʌ ð ɝ,216
music,m j u z ɪ k,216
party,p ɑ ɹ t i,216
provide,p ɹ ə v aɪ d,216
education,ɛ dʒ ə k eɪ ʃ ə n,214
university,j u n ə v ɝ s ə t i,214
child,tʃ aɪ l d,213
effect,ɪ f ɛ k t,213
level,l ɛ v ə l,213
students,s t u d ə n t s,213
military,m ɪ l ə t ɛ ɹ i,212
run,ɹ ʌ n,212
short,ʃ ɔ ɹ t,212
stood,s t ʊ d,212
town,t aʊ n,212
morning,m ɔ ɹ n ɪ ŋ,211
total,t oʊ t ə l,211
outside,aʊ t s aɪ d,210
figure,f ɪ ɡ j ɝ,209
rate,ɹ eɪ t,209
art,ɑ ɹ t,208
century,s ɛ n tʃ ɝ i,207
class,k l æ s,207
north,n ɔ ɹ θ,206
usually,j u ʒ ə w ə l i,206
washington,w ɑ ʃ ɪ ŋ t ə n,206
leave,l i v,205
plan,p l æ n,205
therefore,ð ɛ ɹ f ɔ ɹ,205
evidence,ɛ v ə d ə n s,204
million,m ɪ l j ə n,204
sound,s aʊ n d,204
top,t ɑ p,204
black,b l æ k,203
hard,h ɑ ɹ d,202
strong,s t ɹ ɔ ŋ,202
tax,t æ k s,201
various,v ɛ ɹ i ə s,201
believe,b ɪ l i v,200
play,p l eɪ,200
says,s ɛ z,200
surface,s ɝ f ə s,200
type,t aɪ p,200
value,v æ l j u,200
mean,m i n,199
soon,s u n,199
lines,l aɪ n z,198
modern,m ɑ d ɝ n,198
near,n ɪ ɹ,198
peace,p i s,198
table,t eɪ b ə l,198
book,b ʊ k,197
red,ɹ ɛ d,197
road,ɹ oʊ d,197
minutes,m ɪ n ə t s,196
personal,p ɝ s ɪ n ɪ l,196
process,p ɹ ɑ s ɛ s,196
situation,s ɪ tʃ u eɪ ʃ ə n,196
alone,ə l oʊ n,195
english,ɪ ŋ ɡ l ɪ ʃ,195
gone,ɡ ɔ n,195
idea,aɪ d i ə,195
increase,ɪ n k ɹ i s,195
nor,n ɔ ɹ,195
schools,s k u l z,195
women,w ɪ m ə n,195
america,ə m ɛ ɹ ə k ə,194
living,l ɪ v ɪ ŋ,194
started,s t ɑ ɹ t ə d,194
longer,l ɔ ŋ ɡ ɝ,193
cut,k ʌ t,192
finally,f aɪ n ə l i,191
nature,n eɪ tʃ ɝ,191
private,p ɹ aɪ v ə t,191
secretary,s ɛ k ɹ ə t ɛ ɹ i,191
third,θ ɝ d,190
months,m ʌ n θ s,189
section,s ɛ k ʃ ə n,189
call,k ɔ l,188
greater,ɡ ɹ eɪ t ɝ,188
expected,ɪ k s p ɛ k t ə d,187
fire,f aɪ ɝ,187
needed,n i d ə d,187
ground,ɡ ɹ aʊ n d,186
kept,k ɛ p t,186
values,v æ l j u z,186
view,v j u,186
dark,d ɑ ɹ k,185
everything,ɛ v ɹ i θ ɪ ŋ,185
pressure,p ɹ ɛ ʃ ɝ,185
basis,b eɪ s ə s,184
space,s p eɪ s,184
east,i s t,183
father,f ɑ ð ɝ,183
complete,k ə m p l i t,182
required,ɹ i k w aɪ ɝ d,182
spirit,s p ɪ ɹ ə t,182
union,j u n j ə n,182
except,ɪ k s ɛ p t,181
moved,m u v d,181
wrote,ɹ oʊ t,181
conditions,k ə n d ɪ ʃ ə n z,180
return,ɹ ɪ t ɝ n,180
support,s ə p ɔ ɹ t,180
attention,ə t ɛ n ʃ ə n,179
late,l eɪ t,179
particular,p ɝ t ɪ k j ə l ɝ,179
recent,ɹ i s ə n t,179
hope,h oʊ p,177
live,l aɪ v,177
brown,b ɹ aʊ n,176
costs,k ɑ s t s,176
else,ɛ l s,176
beyond,b ɪ ɑ n d,175
forces,f ɔ ɹ s ɪ z,175
nations,n eɪ ʃ ə n z,175
stage,s t eɪ dʒ,175
taking,t eɪ k ɪ ŋ,175
coming,k ʌ m ɪ ŋ,174
dead,d ɛ d,174
hours,aʊ ɝ z,174
inside,ɪ n s aɪ d,174
material,m ə t ɪ ɹ i ə l,174
person,p ɝ s ə n,174
read,ɹ ɛ d,174
report,ɹ i p ɔ ɹ t,174
data,d eɪ t ə,173
heart,h ɑ ɹ t,173
instead,ɪ n s t ɛ d,173
looking,l ʊ k ɪ ŋ,173
lost,l ɔ s t,173
low,l oʊ,173
miles,m aɪ l z,173
added,æ d ə d,172
amount,ə m aʊ n t,172
feeling,f i l ɪ ŋ,172
followed,f ɑ l oʊ d,172
makes,m eɪ k s,172
pay,p eɪ,172
single,s ɪ ŋ ɡ ə l,172
basic,b eɪ s ɪ k,171
cold,k oʊ l d,171
hundred,h ʌ n d ɹ ə d,171
including,ɪ n k l u d ɪ ŋ,171
industry,ɪ n d ə s t ɹ i,171
move,m u v,171
research,ɹ i s ɝ tʃ,171
simply,s ɪ m p l i,171
developed,d ɪ v ɛ l ə p t,170
tried,t ɹ aɪ d,170
hold,h oʊ l d,169
reached,ɹ i tʃ t,169
committee,k ə m ɪ t i,168
defense,d ɪ f ɛ n s,167
equipment,ɪ k w ɪ p m ə n t,167
island,aɪ l ə n d,167
actually,æ k tʃ ə w ə l i,166
shown,ʃ oʊ n,166
central,s ɛ n t ɹ ə l,165
religious,ɹ ɪ l ɪ dʒ ə s,165
river,ɹ ɪ v ɝ,165
son,s ʌ n,165
beginning,b ɪ ɡ ɪ n ɪ ŋ,164
getting,ɡ ɛ t ɪ ŋ,164
sort,s ɔ ɹ t,164
ten,t ɛ n,164
doing,d u ɪ ŋ,163
received,ɹ ə s i v d,163
rest,ɹ ɛ s t,163
terms,t ɝ m z,163
trying,t ɹ aɪ ɪ ŋ,163
care,k ɛ ɹ,162
especially,ə s p ɛ ʃ l i,162
friends,f ɹ ɛ n d z,162
indeed,ɪ n d i d,162
medical,m ɛ d ə k ə l,162
picture,p ɪ k tʃ ɝ,162
administration,æ d m ɪ n ɪ s t ɹ eɪ ʃ ə n,161
difficult,d ɪ f ə k ə l t,161
fine,f aɪ n,161
subject,s ə b dʒ ɛ k t,161
building,b ɪ l d ɪ ŋ,160
higher,h aɪ ɝ,160
simple,s ɪ m p ə l,160
wall,w ɔ l,160
meeting,m i t ɪ ŋ,159
walked,w ɔ k t,159
bring,b ɹ ɪ ŋ,158
floor,f l ɔ ɹ,158
foreign,f ɔ ɹ ə n,158
paper,p eɪ p ɝ,157
passed,p æ s t,157
range,ɹ eɪ n dʒ,157
similar,s ɪ m ə l ɝ,157
final,f aɪ n ə l,156
natural,n æ tʃ ɝ ə l,156
property,p ɹ ɑ p ɝ t i,156
training,t ɹ eɪ n ɪ ŋ,156
cent,s ɛ n t,155
county,k aʊ n t i,155
growth,ɡ ɹ oʊ θ,155
international,ɪ n t ɝ n æ ʃ ə n ə l,155
market,m ɑ ɹ k ə t,155
police,p ə l i s,155
england,ɪ ŋ ɡ l ə n d,154
start,s t ɑ ɹ t,154
talk,t ɔ k,154
written,ɹ ɪ t ə n,154
hear,h i ɹ,153
story,s t ɔ ɹ i,153
suddenly,s ʌ d ə n l i,153
answer,æ n s ɝ,152
congress,k ɑ ŋ ɡ ɹ ə s,152
hall,h ɔ l,152
issue,ɪ ʃ u,152
needs,n i d z,152
considered,k ə n s ɪ d ɝ d,151
countries,k ʌ n t ɹ i z,151
likely,l aɪ k l i,151
working,w ɝ k ɪ ŋ,151
earth,ɝ θ,150
sat,s æ t,150
entire,ɪ n t aɪ ɝ,149
happened,h æ p ə n d,149
labor,l eɪ b ɝ,149
meet,m i t,149
purpose,p ɝ p ə s,149
results,ɹ ɪ z ʌ l t s,149
cases,k eɪ s ə z,148
difference,d ɪ f ɝ ə n s,148
hair,h ɛ ɹ,148
production,p ɹ ə d ʌ k ʃ ə n,148
stand,s t æ n d,148
william,w ɪ l j ə m,148
fall,f ɔ l,147
food,f u d,147
involved,ɪ n v ɑ l v d,147
stock,s t ɑ k,147
earlier,ɝ l i ɝ,146
increased,ɪ n k ɹ i s t,146
particularly,p ɑ ɹ t ɪ k j ə l ɝ l i,146
whom,h u m,146
below,b ɪ l oʊ,145
club,k l ʌ b,145
effort,ɛ f ɝ t,145
hour,aʊ ɝ,145
knowledge,n ɑ l ə dʒ,145
letter,l ɛ t ɝ,145
paid,p eɪ d,145
sent,s ɛ n t,145
thinking,θ ɪ ŋ k ɪ ŋ,145
using,j u z ɪ ŋ,145
christian,k ɹ ɪ s tʃ ə n,144
yes,j ɛ s,144
bill,b ɪ l,143
blue,b l u,143
boys,b ɔɪ z,143
certainly,s ɝ t ə n l i,143
deal,d i l,143
ideas,aɪ d i ə z,143
industrial,ɪ n d ʌ s t ɹ i ə l,143
points,p ɔɪ n t s,143
ready,ɹ ɛ d i,143
square,s k w ɛ ɹ,143
trade,t ɹ eɪ d,143
addition,ə d ɪ ʃ ə n,142
bad,b æ d,142
due,d u,142
girls,ɡ ɝ l z,142
method,m ɛ θ ə d,142
methods,m ɛ θ ə d z,142
moral,m ɔ ɹ ə l,142
decided,d ɪ s aɪ d ɪ d,141
directly,d ɝ ɛ k t l i,141
nearly,n ɪ ɹ l i,141
neither,n i ð ɝ,141
reading,ɹ ɛ d ɪ ŋ,141
showed,ʃ oʊ d,141
statement,s t eɪ t m ə n t,141
throughout,θ ɹ u aʊ t,141
weeks,w i k s,141
according,ə k ɔ ɹ d ɪ ŋ,140
anyone,ɛ n i w ʌ n,140
color,k ʌ l ɝ,140
kennedy,k ɛ n ə d i,140
questions,k w ɛ s tʃ ə n z,140
try,t ɹ aɪ,140
french,f ɹ ɛ n tʃ,139
lay,l eɪ,139
nation,n eɪ ʃ ə n,139
programs,p ɹ oʊ ɡ ɹ æ m z,139
services,s ɝ v ə s ə z,139
physical,f ɪ z ɪ k ə l,138
remember,ɹ ɪ m ɛ m b ɝ,138
size,s aɪ z,138
comes,k ʌ m z,137
member,m ɛ m b ɝ,137
record,ɹ ə k ɔ ɹ d,137
southern,s ʌ ð ɝ n,137
strength,s t ɹ ɛ ŋ k θ,137
understand,ʌ n d ɝ s t æ n d,137
western,w ɛ s t ɝ n,137
normal,n ɔ ɹ m ə l,136
population,p ɑ p j ə l eɪ ʃ ə n,136
appeared,ə p ɪ ɹ d,135
concerned,k ə n s ɝ n d,135
district,d ɪ s t ɹ ɪ k t,135
merely,m ɪ ɹ l i,135
temperature,t ɛ m p ɹ ə tʃ ɝ,135
volume,v ɑ l j u m,135
aid,eɪ d,134
direction,d ɝ ɛ k ʃ ə n,134
ran,ɹ æ n,134
summer,s ʌ m ɝ,134
trial,t ɹ aɪ ə l,134
trouble,t ɹ ʌ b ə l,134
continued,k ə n t ɪ n j u d,133
evening,i v n ɪ ŋ,133
friend,f ɹ ɛ n d,133
list,l ɪ s t,133
literature,l ɪ t ɝ ə tʃ ɝ,133
maybe,m eɪ b i,133
sales,s eɪ l z,133
army,ɑ ɹ m i,132
association,ə s oʊ s i eɪ ʃ ə n,132
generally,dʒ ɛ n ɝ ə l i,132
influence,ɪ n f l u ə n s,132
led,l ɛ d,132
met,m ɛ t,132
provided,p ɹ ə v aɪ d ə d,132
chance,tʃ æ n s,131
changes,tʃ eɪ n dʒ ə z,131
former,f ɔ ɹ m ɝ,131
husband,h ʌ z b ə n d,131
opened,oʊ p ə n d,131
science,s aɪ ə n s,131
step,s t ɛ p,131
student,s t u d ə n t,131
average,æ v ɝ ɪ dʒ,130
cause,k ɑ z,130
hot,h ɑ t,130
month,m ʌ n θ,130
series,s ɪ ɹ i z,130
works,w ɝ k s,130
direct,d ɝ ɛ k t,129
effective,ɪ f ɛ k t ɪ v,129
george,dʒ ɔ ɹ dʒ,129
lead,l ɛ d,129
myself,m aɪ s ɛ l f,129
piece,p i s,129
planning,p l æ n ɪ ŋ,129
soviet,s oʊ v i ə t,129
stopped,s t ɑ p t,129
systems,s ɪ s t ə m z,129
theory,θ ɪ ɹ i,129
wrong,ɹ ɔ ŋ,129
ask,æ s k,128
clearly,k l ɪ ɹ l i,128
freedom,f ɹ i d ə m,128
movement,m u v m ə n t,128
organization,ɔ ɹ ɡ ə n ə z eɪ ʃ ə n,128
ways,w eɪ z,128
worked,w ɝ k t,128
beautiful,b j u t ə f ə l,127
bed,b ɛ d,127
consider,k ə n s ɪ d ɝ,127
efforts,ɛ f ɝ t s,127
fear,f ɪ ɹ,127
forms,f ɔ ɹ m z,127
lot,l ɑ t,127
meaning,m i n ɪ ŋ,127
note,n oʊ t,127
press,p ɹ ɛ s,127
somewhat,s ʌ m w ʌ t,127
spring,s p ɹ ɪ ŋ,127
treatment,t ɹ i t m ə n t,127
hotel,h oʊ t ɛ l,126
placed,p l eɪ s t,126
truth,t ɹ u θ,126
apparently,ə p ɛ ɹ ə n t l i,125
carried,k æ ɹ i d,125
degree,d ɪ ɡ ɹ i,125
groups,ɡ ɹ u p s,125
herself,h ɝ s ɛ l f,125
numbers,n ʌ m b ɝ z,125
plant,p l æ n t,125
respect,ɹ ɪ s p ɛ k t,125
wide,w aɪ d,125
easy,i z i,124
farm,f ɑ ɹ m,124
manner,m æ n ɝ,124
reaction,ɹ i æ k ʃ ə n,124
approach,ə p ɹ oʊ tʃ,123
game,ɡ eɪ m,123
immediately,ɪ m i d i ə t l i,123
larger,l ɑ ɹ dʒ ɝ,123
lower,l oʊ ɝ,123
recently,ɹ i s ə n t l i,123
running,ɹ ʌ n ɪ ŋ,123
charge,tʃ ɑ ɹ dʒ,122
couple,k ʌ p ə l,122
daily,d eɪ l i,122
de,d i,122
eye,aɪ,122
feed,f i d,122
oh,oʊ,122
performance,p ɝ f ɔ ɹ m ə n s,122
arms,ɑ ɹ m z,121
blood,b l ʌ d,121
march,m ɑ ɹ tʃ,121
opportunity,ɑ p ɝ t u n ə t i,121
persons,p ɝ s ə n z,121
understanding,ʌ n d ɝ s t æ n d ɪ ŋ,121
additional,ə d ɪ ʃ ə n ə l,120
described,d ɪ s k ɹ aɪ b d,120
fiscal,f ɪ s k ə l,120
progress,p ɹ ɑ ɡ ɹ ɛ s,120
radio,ɹ eɪ d i oʊ,120
stop,s t ɑ p,120
technical,t ɛ k n ɪ k ə l,120
based,b eɪ s t,119
chief,tʃ i f,119
decision,d ɪ s ɪ ʒ ə n,119
determined,d ɪ t ɝ m ə n d,119
image,ɪ m ə dʒ,119
main,m eɪ n,119
religion,ɹ ɪ l ɪ dʒ ə n,119
reported,ɹ i p ɔ ɹ t ə d,119
served,s ɝ v d,119
steps,s t ɛ p s,119
test,t ɛ s t,119
window,w ɪ n d oʊ,119
british,b ɹ ɪ t ɪ ʃ,118
character,k ɛ ɹ ɪ k t ɝ,118
europe,j ʊ ɹ ə p,118
gun,ɡ ʌ n,118
middle,m ɪ d ə l,118
responsibility,ɹ i s p ɑ n s ə b ɪ l ə t i,118
account,ə k aʊ n t,117
appear,ə p ɪ ɹ,117
horse,h ɔ ɹ s,117
learned,l ɝ n d,117
writing,ɹ aɪ t ɪ ŋ,117
activity,æ k t ɪ v ə t i,116
green,ɡ ɹ i n,116
length,l ɛ ŋ k θ,116
ones,w ʌ n z,116
serious,s ɪ ɹ i ə s,116
types,t aɪ p s,116
activities,æ k t ɪ v ə t i z,115
audience,ɑ d i ə n s,115
corner,k ɔ ɹ n ɝ,115
forward,f ɔ ɹ w ɝ d,115
letters,l ɛ t ɝ z,115
lived,l aɪ v d,115
nuclear,n u k l i ɝ,115
obtained,ə b t eɪ n d,115
returned,ɹ ɪ t ɝ n d,115
slowly,s l oʊ l i,115
specific,s p ə s ɪ f ɪ k,115
design,d ɪ z aɪ n,114
doubt,d aʊ t,114
gives,ɡ ɪ v z,114
hit,h ɪ t,114
justice,dʒ ʌ s t ə s,114
latter,l æ t ɝ,114
moving,m u v ɪ ŋ,114
obviously,ɑ b v i ə s l i,114
plane,p l eɪ n,114
quality,k w ɑ l ə t i,114
straight,s t ɹ eɪ t,114
born,b ɔ ɹ n,113
choice,tʃ ɔɪ s,113
figures,f ɪ ɡ j ɝ z,113
function,f ʌ ŋ k ʃ ə n,113
include,ɪ n k l u d,113
operation,ɑ p ɝ eɪ ʃ ə n,113
parts,p ɑ ɹ t s,113
pattern,p æ t ɝ n,113
plans,p l æ n z,113
poor,p ʊ ɹ,113
saying,s eɪ ɪ ŋ,113
seven,s ɛ v ə n,113
shot,ʃ ɑ t,113
staff,s t æ f,113
stay,s t eɪ,113
cars,k ɑ ɹ z,112
sun,s ʌ n,112
whatever,w ʌ t ɛ v ɝ,112
faith,f eɪ θ,111
pool,p u l,111
