speaker,group,vowel,word,duration_ms,f0,f1,f2,f3
9,boy,ɪ,hid,263,209,529,2649,3280
9,boy,i,heed,266,222,424,3198,3818
9,boy,o,hoed,316,209,623,1241,2770
9,boy,ʊ,hood,259,214,613,1561,2856
9,boy,ʌ,hud,248,203,612,1432,3046
9,boy,u,who'd,275,215,463,1676,2976
10,boy,æ,had,298,209,630,2509,3112
10,boy,ɑ,hod,282,203,832,1602,2551
10,boy,ɔ,hawed,331,194,761,1310,2801
10,boy,ɛ,head,282,214,794,2066,3160
10,boy,e,hayed,309,210,571,2586,3293
10,boy,ɝ,heard,322,211,586,1681,2069
10,boy,ɪ,hid,227,197,522,2387,3297
10,boy,i,heed,254,207,429,2984,3348
10,boy,o,hoed,270,198,591,1168,2769
10,boy,ʊ,hood,271,213,593,1507,2997
10,boy,ʌ,hud,266,213,699,1454,2765
10,boy,u,who'd,246,197,430,1448,2896
11,boy,æ,had,415,252,736,2505,3332
11,boy,ɑ,hod,425,258,968,1808,3600
11,boy,ɔ,hawed,369,251,985,1630,2989
11,boy,ɛ,head,363,249,742,2355,3514
11,boy,e,hayed,357,260,554,2620,3604
11,boy,ɝ,heard,366,263,523,1874,2284
11,boy,ɪ,hid,305,262,548,2592,3485
11,boy,i,heed,349,262,516,3126,3621
11,boy,o,hoed,403,261,716,1206,2864
11,boy,ʊ,hood,325,268,588,1578,3113
11,boy,ʌ,hud,298,254,762,1721,3234
11,boy,u,who'd,313,258,503,1255,3105
12,boy,æ,had,281,216,634,2535,3260
12,boy,ɑ,hod,273,211,933,1694,2860
12,boy,ɔ,hawed,322,210,875,1402,2830
12,boy,ɛ,head,258,227,640,2244,3086
12,boy,e,hayed,280,242,532,2673,3363
12,boy,ɝ,heard,255,193,574,1751,2078
12,boy,ɪ,hid,253,223,491,2409,3166
12,boy,i,heed,234,239,476,2772,3371
12,boy,o,hoed,259,218,586,1217,3041
12,boy,ʊ,hood,244,227,626,1578,2786
12,boy,ʌ,hud,250,211,639,1454,3098
12,boy,u,who'd,233,209,435,1312,2715
13,boy,æ,had,314,198,697,2418,3371
13,boy,ɑ,hod,263,201,998,1560,2745
13,boy,ɔ,hawed,243,206,950,1246,2853
13,boy,ɛ,head,168,200,806,2172,3430
13,boy,e,hayed,260,203,436,2658,3519
13,boy,ɝ,heard,283,213,619,1498,1696
13,boy,ɪ,hid,177,221,470,2505,3377
13,boy,i,heed,327,203,421,3337,3578
13,boy,o,hoed,263,203,623,1044,3142
13,boy,ʊ,hood,179,212,494,1245,3037
13,boy,ʌ,hud,215,210,697,1305,3167
13,boy,u,who'd,263,206,418,940,2567
14,boy,æ,had,382,272,607,2620,3350
14,boy,ɑ,hod,340,287,871,2042,3410
14,boy,ɔ,hawed,312,258,750,1251,3003
14,boy,ɛ,head,312,279,734,2242,3601
14,boy,e,hayed,382,262,558,2643,3216
14,boy,ɝ,heard,371,281,562,1682,1981
14,boy,ɪ,hid,255,287,564,2515,3537
14,boy,i,heed,329,259,446,3011,3587
14,boy,o,hoed,394,282,562,1051,3094
14,boy,ʊ,hood,329,291,570,1423,3457
14,boy,ʌ,hud,307,280,654,1517,3466
14,boy,u,who'd,324,282,548,1123,3152
15,boy,æ,had,367,187,753,2227,3064
15,boy,ɑ,hod,364,187,859,1608,2789
15,boy,ɔ,hawed,367,201,819,1074,2918
15,boy,ɛ,head,291,202,616,2356,3200
15,boy,e,hayed,346,193,564,2523,3286
15,boy,ɝ,heard,334,200,591,1626,2051
15,boy,ɪ,hid,290,198,562,2549,3101
15,boy,i,heed,324,207,428,3070,3604
15,boy,o,hoed,315,217,588,1063,3228
15,boy,ʊ,hood,261,202,615,1397,3109
15,boy,ʌ,hud,300,183,739,1411,3122
15,boy,u,who'd,274,241,491,1467,2936
16,boy,æ,had,352,246,726,2231,2932
16,boy,ɑ,hod,327,245,898,1544,2862
16,boy,ɔ,hawed,315,264,744,1093,2898
16,boy,ɛ,head,189,241,749,1869,3107
16,boy,e,hayed,245,250,499,2356,2983
16,boy,ɝ,heard,304,247,556,1741,2245
16,boy,ɪ,hid,276,252,499,2230,3249
16,boy,i,heed,331,259,493,2811,3481
16,boy,o,hoed,290,269,581,1115,2924
16,boy,ʊ,hood,247,263,508,1245,2885
16,boy,ʌ,hud,239,257,696,1297,2881
16,boy,u,who'd,228,262,505,1296,2619
17,boy,æ,had,307,249,741,2444,3043
17,boy,ɑ,hod,281,254,1010,1705,2753
17,boy,ɔ,hawed,269,249,808,1467,2997
17,boy,ɛ,head,195,241,710,1993,3268
17,boy,e,hayed,265,257,621,2476,3195
17,boy,ɝ,heard,304,272,559,1828,2163
17,boy,ɪ,hid,196,264,535,2190,2998
17,boy,i,heed,269,285,504,2803,3130
17,boy,o,hoed,260,257,613,1236,2766
17,boy,ʊ,hood,189,236,563,1585,2841
17,boy,ʌ,hud,233,266,780,1428,3070
17,boy,u,who'd,269,278,548,1377,2702
18,boy,æ,had,312,209,674,2663,3243
18,boy,ɑ,hod,292,218,951,1982,2807
18,boy,ɔ,hawed,294,222,820,1356,2700
18,boy,ɛ,head,227,203,632,2431,3091
18,boy,e,hayed,285,222,652,2661,3448
18,boy,ɝ,heard,278,217,571,1984,2206
18,boy,ɪ,hid,263,212,520,2695,3373
18,boy,i,heed,288,228,442,3135,3610
18,boy,o,hoed,335,185,548,1062,2926
18,boy,ʊ,hood,294,252,578,1574,3026
18,boy,ʌ,hud,241,235,754,1742,3002
18,boy,u,who'd,270,281,550,1114,3012
19,boy,æ,had,352,205,769,2234,2910
19,boy,ɑ,hod,363,226,1010,1604,2588
19,boy,ɔ,hawed,376,240,831,1193,2566
19,boy,ɛ,head,274,204,642,2015,2916
19,boy,e,hayed,465,232,463,2745,3155
19,boy,ɝ,heard,378,247,495,1555,1948
19,boy,ɪ,hid,300,257,506,2432,3008
19,boy,i,heed,398,247,427,2952,3556
19,boy,o,hoed,397,243,584,936,2679
19,boy,ʊ,hood,270,221,531,1540,2931
19,boy,ʌ,hud,254,212,632,1352,2740
19,boy,u,who'd,320,260,504,997,2826
20,boy,æ,had,256,229,678,2524,3418
20,boy,ɑ,hod,350,263,854,1518,2988
20,boy,ɔ,hawed,384,249,746,1309,2957
20,boy,ɛ,head,212,242,699,2169,3243
20,boy,e,hayed,322,250,558,2559,3311
20,boy,ɝ,heard,336,259,678,1594,2048
20,boy,ɪ,hid,187,231,489,2544,3720
20,boy,i,heed,325,260,475,2916,3399
20,boy,o,hoed,370,257,588,1117,2848
20,boy,ʊ,hood,232,237,627,1703,2883
20,boy,ʌ,hud,296,255,746,1552,3044
20,boy,u,who'd,243,256,504,1515,2952
21,boy,æ,had,346,267,809,2592,3331
21,boy,ɑ,hod,292,277,1119,1588,3010
21,boy,ɔ,hawed,313,268,765,1067,3266
21,boy,ɛ,head,238,270,1057,2426,3441
21,boy,e,hayed,336,271,586,2720,3446
21,boy,ɝ,heard,332,246,614,1867,2435
21,boy,ɪ,hid,205,276,559,2753,3502
21,boy,i,heed,277,293,366,3207,3722
21,boy,o,hoed,314,274,557,1065,3040
21,boy,ʊ,hood,206,277,561,1627,3037
21,boy,ʌ,hud,219,282,863,1566,3134
21,boy,u,who'd,251,283,557,1288,3111
22,boy,æ,had,216,206,545,2690,2959
22,boy,ɑ,hod,238,228,1205,1605,2708
22,boy,ɔ,hawed,196,203,770,1010,2411
22,boy,ɛ,head,165,212,744,2227,2966
22,boy,e,hayed,199,212,613,2593,3103
22,boy,ɝ,heard,270,248,568,1512,1783
22,boy,ɪ,hid,137,229,447,2645,3302
22,boy,i,heed,205,213,424,3199,3815
22,boy,o,hoed,216,212,615,1093,2691
22,boy,ʊ,hood,169,237,493,1248,2751
22,boy,ʌ,hud,158,213,685,1485,2679
22,boy,u,who'd,214,221,438,1336,3117
23,boy,æ,had,284,223,669,2440,2915
23,boy,ɑ,hod,295,220,872,1565,2531
23,boy,ɔ,hawed,340,213,839,1240,2636
23,boy,ɛ,head,215,232,692,2354,3179
23,boy,e,hayed,294,219,441,2585,3014
23,boy,ɝ,heard,277,227,488,1584,1810
23,boy,ɪ,hid,249,212,479,2492,3187
23,boy,i,heed,309,239,382,2987,3320
23,boy,o,hoed,292,223,625,1100,2747
23,boy,ʊ,hood,254,238,512,1260,2826
23,boy,ʌ,hud,223,220,688,1251,2795
23,boy,u,who'd,286,219,436,1170,2661
24,boy,æ,had,451,220,643,2434,3326
24,boy,ɑ,hod,314,210,776,1490,2730
24,boy,ɔ,hawed,362,220,635,1163,3053
24,boy,ɛ,head,331,217,668,2106,3353
24,boy,e,hayed,426,233,654,2549,3427
24,boy,ɝ,heard,347,224,479,1579,1963
24,boy,ɪ,hid,316,218,481,2567,3550
24,boy,i,heed,342,218,441,3079,3474
24,boy,o,hoed,338,215,646,1244,3023
24,boy,ʊ,hood,303,227,546,1254,3333
24,boy,ʌ,hud,292,216,670,1538,3264
24,boy,u,who'd,320,235,449,916,3002
25,boy,æ,had,243,211,634,2410,3303
25,boy,ɑ,hod,270,223,1147,1553,2877
25,boy,ɔ,hawed,250,215,792,1268,2988
25,boy,ɛ,head,192,231,699,2194,3317
25,boy,e,hayed,293,239,494,2823,3444
25,boy,ɝ,heard,251,211,615,1742,2009
25,boy,ɪ,hid,174,230,551,2362,3354
25,boy,i,heed,241,239,410,2874,3505
25,boy,o,hoed,264,225,658,1272,2944
25,boy,ʊ,hood,174,211,622,1417,2993
25,boy,ʌ,hud,172,214,763,1522,2931
25,boy,u,who'd,233,254,495,1283,3033
26,boy,æ,had,284,227,676,2253,3121
26,boy,ɑ,hod,271,221,1065,1483,2723
26,boy,ɔ,hawed,267,216,640,929,2654
26,boy,ɛ,head,210,221,680,2187,3099
26,boy,e,hayed,309,239,510,2438,3126
26,boy,ɝ,heard,263,220,457,1570,1926
26,boy,ɪ,hid,194,240,490,2449,3330
26,boy,i,heed,268,240,361,2938,3810
26,boy,o,hoed,293,224,616,1047,2669
26,boy,ʊ,hood,213,239,492,1200,2622
26,boy,ʌ,hud,212,206,667,1400,3017
26,boy,u,who'd,255,216,434,1297,2694
27,boy,æ,had,291,212,860,2503,3002
27,boy,ɑ,hod,285,227,944,1540,2896
27,boy,ɔ,hawed,305,214,941,1409,2729
27,boy,ɛ,head,212,231,856,2304,2916
27,boy,e,hayed,289,236,655,2772,3180
27,boy,ɝ,heard,390,250,614,1733,2034
27,boy,ɪ,hid,294,243,503,2433,3150
27,boy,i,heed,269,255,366,3024,3867
27,boy,o,hoed,267,241,578,1122,2833
27,boy,ʊ,hood,221,233,684,1623,3019
27,boy,ʌ,hud,243,234,778,1422,3266
27,boy,u,who'd,302,249,498,1509,2866
28,girl,æ,had,295,242,741,2433,3341
28,girl,ɑ,hod,276,238,894,1420,2828
28,girl,ɔ,hawed,349,240,867,1292,3296
28,girl,ɛ,head,202,227,653,2241,3167
28,girl,e,hayed,320,243,496,2670,3256
28,girl,ɝ,heard,297,228,556,1687,2002
28,girl,ɪ,hid,233,240,495,2574,3362
28,girl,i,heed,314,222,389,3068,3544
28,girl,o,hoed,263,251,571,1243,2854
28,girl,ʊ,hood,224,243,499,1440,2980
28,girl,ʌ,hud,200,247,740,1502,3001
28,girl,u,who'd,327,251,500,1724,2988
29,girl,æ,had,283,196,729,2878,3792
29,girl,ɑ,hod,298,208,1312,1820,3308
29,girl,ɔ,hawed,249,217,875,1501,3294
29,girl,ɛ,head,218,188,928,2254,3612
29,girl,e,hayed,286,211,648,2788,3723
29,girl,ɝ,heard,258,223,620,1750,2165
29,girl,ɪ,hid,197,258,557,2634,3691
29,girl,i,heed,248,246,498,3451,4100
29,girl,o,hoed,295,230,683,1038,3200
29,girl,ʊ,hood,206,228,639,1518,3253
29,girl,ʌ,hud,215,220,882,1623,3434
29,girl,u,who'd,236,188,435,1059,3389
30,girl,æ,had,385,255,932,2523,3644
30,girl,ɑ,hod,324,246,1007,1742,2982
30,girl,ɔ,hawed,430,244,885,1415,3196
30,girl,ɛ,head,277,245,802,2427,3488
30,girl,e,hayed,350,266,561,2663,3550
30,girl,ɝ,heard,359,285,564,2003,2349
30,girl,ɪ,hid,313,271,558,2427,3502
30,girl,i,heed,324,294,463,3225,3699
30,girl,o,hoed,380,282,583,1352,3140
30,girl,ʊ,hood,367,271,564,1613,3065
30,girl,ʌ,hud,275,268,784,1614,3392
30,girl,u,who'd,300,288,556,1736,3005
31,girl,æ,had,456,227,682,2638,3510
31,girl,ɑ,hod,375,204,978,1817,2843
31,girl,ɔ,hawed,368,210,882,1309,2834
31,girl,ɛ,head,328,226,809,2265,3309
31,girl,e,hayed,321,220,638,2553,3348
31,girl,ɝ,heard,348,223,601,1791,2612
31,girl,ɪ,hid,323,219,441,2728,3285
31,girl,i,heed,305,239,475,3320,3761
31,girl,o,hoed,380,239,678,1306,3202
31,girl,ʊ,hood,375,225,504,1440,3000
31,girl,ʌ,hud,290,225,897,1494,2960
31,girl,u,who'd,378,219,437,1733,3208
32,girl,æ,had,292,222,799,2397,3125
32,girl,ɑ,hod,275,225,1026,1544,2536
32,girl,ɔ,hawed,300,224,888,1266,2632
32,girl,ɛ,head,174,222,660,2223,3354
32,girl,e,hayed,261,225,542,2755,3283
32,girl,ɝ,heard,299,224,632,1689,2154
32,girl,ɪ,hid,150,236,488,2623,3549
32,girl,i,heed,230,250,478,2997,3755
32,girl,o,hoed,268,226,483,903,2954
32,girl,ʊ,hood,234,254,545,1307,3032
32,girl,ʌ,hud,218,238,754,1430,3034
32,girl,u,who'd,246,256,480,1011,2574
33,girl,æ,had,341,242,722,2418,3017
33,girl,ɑ,hod,384,227,843,1803,2562
33,girl,ɔ,hawed,342,233,697,1358,2263
33,girl,ɛ,head,284,230,649,2268,2827
33,girl,e,hayed,421,242,544,2444,2605
33,girl,ɝ,heard,365,237,585,1694,2278
33,girl,ɪ,hid,311,252,506,2432,3262
33,girl,i,heed,386,250,457,2776,4268
33,girl,o,hoed,442,241,492,927,2671
33,girl,ʊ,hood,186,249,507,1720,2978
33,girl,ʌ,hud,286,234,620,1579,2861
33,girl,u,who'd,367,255,503,821,2874
34,girl,æ,had,384,266,695,2704,3731
34,girl,ɑ,hod,407,249,993,2000,3174
34,girl,ɔ,hawed,377,270,787,1234,2924
34,girl,ɛ,head,294,244,741,2418,3665
34,girl,e,hayed,438,257,513,2881,3667
34,girl,ɝ,heard,346,260,540,1571,2167
34,girl,ɪ,hid,378,261,517,2619,3499
34,girl,i,heed,390,263,507,3319,3823
34,girl,o,hoed,309,259,536,789,2863
34,girl,ʊ,hood,292,271,585,1636,2941
34,girl,ʌ,hud,303,242,695,1832,3000
34,girl,u,who'd,315,271,540,1653,2799
35,girl,æ,had,382,265,758,2373,3327
35,girl,ɑ,hod,321,245,1197,1734,3187
35,girl,ɔ,hawed,425,301,932,1445,3107
35,girl,ɛ,head,292,238,763,2393,3241
35,girl,e,hayed,364,258,536,2859,3507
35,girl,ɝ,heard,413,286,573,1748,2245
35,girl,ɪ,hid,308,264,515,2828,3627
35,girl,i,heed,399,294,503,3256,4056
35,girl,o,hoed,423,275,561,1151,2996
35,girl,ʊ,hood,284,294,595,1737,3235
35,girl,ʌ,hud,248,262,756,1579,3388
35,girl,u,who'd,307,303,568,1508,2987
36,girl,æ,had,311,237,946,2540,3229
36,girl,ɑ,hod,282,218,855,1845,3055
36,girl,ɔ,hawed,285,226,893,1563,3131
36,girl,ɛ,head,278,227,816,2404,3448
36,girl,e,hayed,310,236,740,2651,3049
36,girl,ɝ,heard,320,212,631,1722,2140
36,girl,ɪ,hid,241,257,518,2870,3681
36,girl,i,heed,292,222,456,3389,4027
36,girl,o,hoed,338,238,630,1491,3010
36,girl,ʊ,hood,268,229,667,1446,3220
36,girl,ʌ,hud,222,229,880,1680,3280
36,girl,u,who'd,318,216,460,1422,3099
37,girl,æ,had,353,230,648,2334,2834
37,girl,ɑ,hod,298,240,1047,1488,2879
37,girl,ɔ,hawed,380,232,898,1359,2850
37,girl,ɛ,head,227,226,793,2228,3560
37,girl,e,hayed,315,240,494,2676,3280
37,girl,ɝ,heard,296,233,671,1556,2302
37,girl,ɪ,hid,250,226,499,2437,3758
37,girl,i,heed,282,238,465,2875,3699
37,girl,o,hoed,363,232,455,923,3258
37,girl,ʊ,hood,310,219,627,1515,3034
37,girl,ʌ,hud,227,226,701,1563,3058
37,girl,u,who'd,324,238,460,1291,3010
38,girl,æ,had,322,240,730,2668,3564
38,girl,ɑ,hod,317,200,1154,1932,3044
38,girl,ɔ,hawed,323,241,952,1665,3063
38,girl,ɛ,head,250,236,762,2349,3484
38,girl,e,hayed,293,262,594,2733,3413
38,girl,ɝ,heard,270,253,627,1780,2415
38,girl,ɪ,hid,240,242,533,2762,3466
38,girl,i,heed,304,212,436,3340,3862
38,girl,o,hoed,237,225,637,1142,3360
38,girl,ʊ,hood,214,259,571,1819,3274
38,girl,ʌ,hud,226,248,796,1669,3254
38,girl,u,who'd,273,276,540,1998,3104
39,girl,æ,had,301,251,752,2501,3450
39,girl,ɑ,hod,334,241,931,1749,3205
39,girl,ɔ,hawed,339,234,823,1356,3419
39,girl,ɛ,head,250,263,759,2488,3502
39,girl,e,hayed,345,258,550,2780,3468
39,girl,ɝ,heard,288,273,561,1692,2358
39,girl,ɪ,hid,273,257,508,2642,3494
39,girl,i,heed,396,278,464,3104,3692
39,girl,o,hoed,351,251,502,960,3274
39,girl,ʊ,hood,269,279,563,1577,3159
39,girl,ʌ,hud,232,229,738,1626,3315
39,girl,u,who'd,286,273,527,1407,3253
40,girl,æ,had,306,194,717,2313,3150
40,girl,ɑ,hod,308,189,954,1472,2844
40,girl,ɔ,hawed,332,214,854,1109,2960
40,girl,ɛ,head,297,211,621,2275,3146
40,girl,e,hayed,351,222,564,2455,3100
40,girl,ɝ,heard,312,215,603,1663,1983
40,girl,ɪ,hid,311,216,435,2623,3084
40,girl,i,heed,320,220,432,2688,3161
40,girl,o,hoed,330,240,499,992,3121
40,girl,ʊ,hood,314,245,498,1491,2924
40,girl,ʌ,hud,259,208,633,1454,2986
40,girl,u,who'd,304,239,486,968,2756
41,girl,æ,had,354,226,888,2605,3651
41,girl,ɑ,hod,299,233,1316,1752,3113
41,girl,ɔ,hawed,360,239,894,1366,3371
41,girl,ɛ,head,266,226,880,2638,3567
41,girl,e,hayed,386,237,497,2804,3315
41,girl,ɝ,heard,331,248,707,1706,2245
41,girl,ɪ,hid,337,244,497,2684,3546
41,girl,i,heed,357,251,477,3266,3889
41,girl,o,hoed,382,243,577,1217,3225
41,girl,ʊ,hood,298,233,597,1599,3270
41,girl,ʌ,hud,302,247,684,1732,3241
41,girl,u,who'd,368,244,496,1739,2873
42,girl,æ,had,308,208,727,2394,3320
42,girl,ɑ,hod,304,248,911,1624,3230
42,girl,ɔ,hawed,291,233,757,1242,3288
42,girl,ɛ,head,204,249,755,2137,3384
42,girl,e,hayed,280,258,575,2502,3445
42,girl,ɝ,heard,269,225,667,1688,2246
42,girl,ɪ,hid,212,243,504,2408,3422
42,girl,i,heed,266,273,466,3004,3634
42,girl,o,hoed,262,267,785,1551,3138
42,girl,ʊ,hood,188,236,643,1860,3306
42,girl,ʌ,hud,215,256,782,1622,3171
42,girl,u,who'd,245,236,490,2179,3131
43,girl,æ,had,317,219,591,2632,3497
43,girl,ɑ,hod,416,214,1033,1929,3428
43,girl,ɔ,hawed,441,215,1062,1475,3233
43,girl,ɛ,head,258,205,533,2480,3378
43,girl,e,hayed,325,209,570,3256,3584
43,girl,ɝ,heard,287,219,611,2033,2522
43,girl,ɪ,hid,267,212,557,2664,3468
43,girl,i,heed,343,222,436,3443,3843
43,girl,o,hoed,300,221,568,1096,2991
43,girl,ʊ,hood,211,217,556,1558,3490
43,girl,ʌ,hud,226,207,744,1854,3360
43,girl,u,who'd,315,214,435,1829,3316
44,girl,æ,had,238,248,747,2703,3829
44,girl,ɑ,hod,220,235,1129,2005,2826
44,girl,ɔ,hawed,218,221,1090,1465,2981
44,girl,ɛ,head,222,229,868,2318,3567
44,girl,e,hayed,223,234,618,2752,4040
44,girl,ɝ,heard,197,236,670,1899,2323
44,girl,ɪ,hid,168,236,550,2625,3774
44,girl,i,heed,193,237,479,3093,3755
44,girl,o,hoed,222,234,688,1197,3184
44,girl,ʊ,hood,155,237,682,1571,3394
44,girl,ʌ,hud,184,227,885,1629,3430
44,girl,u,who'd,192,243,497,1334,3067
45,girl,æ,had,290,227,672,2484,3492
45,girl,ɑ,hod,259,234,1145,1655,3062
45,girl,ɔ,hawed,274,246,998,1368,3282
45,girl,ɛ,head,228,228,882,2524,3555
45,girl,e,hayed,294,249,540,2687,3504
45,girl,ɝ,heard,286,230,627,1628,2058
45,girl,ɪ,hid,220,234,489,2730,3763
45,girl,i,heed,243,232,469,3278,4165
45,girl,o,hoed,317,213,622,1223,3380
45,girl,ʊ,hood,241,239,512,1644,3483
45,girl,ʌ,hud,210,248,1045,1609,3456
45,girl,u,who'd,248,248,498,1740,3291
46,girl,æ,had,250,227,555,2569,3424
46,girl,ɑ,hod,186,215,1021,1720,3186
46,girl,ɔ,hawed,259,218,1001,1488,3149
46,girl,ɛ,head,227,230,733,2421,3250
46,girl,e,hayed,259,235,558,2533,3224
46,girl,ɝ,heard,262,225,620,1689,2361
46,girl,ɪ,hid,170,226,444,2846,3518
46,girl,i,heed,258,238,472,3120,3574
46,girl,o,hoed,246,222,643,1262,3194
46,girl,ʊ,hood,179,243,575,1580,3509
46,girl,ʌ,hud,177,229,646,1578,3366
46,girl,u,who'd,227,225,446,1533,3269
47,man,æ,had,323,174,663,2012,2659
47,man,ɑ,hod,316,159,813,1283,2687
47,man,ɔ,hawed,330,177,699,996,2548
47,man,ɛ,head,266,171,609,1980,2678
47,man,e,hayed,319,166,494,2113,2700
47,man,ɝ,heard,324,175,506,1418,1849
47,man,ɪ,hid,268,179,370,2161,2757
47,man,i,heed,339,172,328,2418,2939
47,man,o,hoed,369,169,509,989,2561
47,man,ʊ,hood,255,169,450,995,2519
47,man,ʌ,hud,292,171,670,1178,2566
47,man,u,who'd,281,184,374,931,2433
48,man,æ,had,250,102,628,1871,2477
48,man,ɑ,hod,249,101,749,1060,2842
48,man,ɔ,hawed,289,106,644,856,2627
48,man,ɛ,head,167,103,517,1917,2438
48,man,e,hayed,261,105,438,2196,2480
48,man,ɝ,heard,296,111,457,1406,1685
48,man,ɪ,hid,183,111,384,2039,2523
48,man,i,heed,236,108,305,2320,3072
48,man,o,hoed,261,105,519,891,2532
48,man,ʊ,hood,174,112,424,992,2249
48,man,ʌ,hud,173,105,642,998,2682
48,man,u,who'd,257,114,319,938,2091
49,man,æ,had,344,99,605,1812,2570
49,man,ɑ,hod,373,97,755,1133,2695
49,man,ɔ,hawed,355,93,647,926,2785
49,man,ɛ,head,284,95,559,1695,2413
49,man,e,hayed,353,91,438,2026,2476
49,man,ɝ,heard,368,94,479,1252,1621
