token,vowel,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13
i_02,i,-137.5356,96.6406,-4.9666,59.0926,-0.5233,-5.9654,18.9904,-10.2077,-1.5377,-5.6391,-5.4975,-1.1566,-12.1223
i_03,i,-140.2651,98.8871,-5.6120,59.0883,-0.1102,-4.3653,18.8851,-9.5885,1.9130,-4.2782,-3.8352,2.2650,-10.7981
i_04,i,-138.8470,97.2832,-3.9977,56.6459,4.3524,-7.9226,17.9650,-7.2660,-2.2476,-3.5503,-5.1742,0.1154,-10.3457
i_05,i,-141.5807,100.9338,-7.7786,57.7396,4.3767,-7.8354,18.6889,-6.7679,-0.8896,-3.0716,-4.0996,1.5405,-9.0649
i_06,i,-143.7218,99.4674,-2.7911,52.6110,8.2453,-4.5566,13.1123,-5.9867,2.3489,-7.5111,-7.0048,4.4093,-12.1305
i_07,i,-132.5146,97.7443,-5.9985,57.1944,2.4337,-8.3657,18.9131,-7.9113,-1.8549,-2.6184,-4.6967,0.4660,-8.9944
i_08,i,-139.4368,100.9765,-9.1823,59.7736,1.6301,-9.6287,20.8471,-8.7217,-3.0917,-1.1021,-4.5038,-1.1116,-7.9200
i_09,i,-135.4809,100.0638,-6.5552,53.1981,8.2602,-9.2010,16.3217,-4.3817,-1.7500,-2.9360,-4.9763,1.8325,-7.9236
i_10,i,-139.0881,96.9304,-4.1866,58.6705,0.5907,-6.4851,20.0806,-10.3020,-2.5139,-3.3764,-6.8794,-1.6224,-9.8463
i_11,i,-141.5287,95.6357,-1.5979,58.4988,1.8025,-6.4343,20.6184,-9.8295,-2.6682,-1.1954,-6.5864,-1.8021,-8.8422
i_12,i,-133.2496,100.0878,-7.2292,55.3853,5.2859,-9.3908,16.6308,-7.1604,-2.3793,-3.6586,-5.7180,0.8045,-9.0604
i_13,i,-131.4615,98.4104,-6.1079,57.4370,1.3268,-8.4946,19.3988,-9.4757,-2.4761,-1.7199,-5.5350,-0.3069,-8.3257
i_14,i,-134.6470,102.7610,-11.1820,57.9543,2.9802,-10.0132,19.4544,-7.7080,-2.6890,-1.9535,-4.3522,-0.1127,-7.5761
i_15,i,-139.8844,99.9609,-6.8534,52.0678,12.6291,-10.5563,16.0937,-0.9060,-2.8525,-2.3896,-3.9491,1.6774,-7.2944
i_16,i,-140.0677,100.7504,-5.6882,53.4602,5.9167,-5.0476,13.9884,-7.2631,1.6575,-8.1482,-7.6975,3.1653,-12.1427
i_17,i,-126.8743,98.6861,-7.2708,56.5199,-0.2405,-5.6145,16.4111,-9.2571,2.1857,-5.8241,-3.4615,3.6207,-11.4044
i_18,i,-128.3144,102.7929,-11.1033,54.1446,5.4476,-8.7663,15.2144,-6.2512,0.5838,-4.7578,-4.6806,4.1512,-8.3767
i_19,i,-139.6098,97.3478,-4.1677,55.4004,6.8443,-9.1927,19.7982,-5.0535,-3.7530,-0.1044,-4.5958,-0.8391,-7.0265
i_20,i,-141.3463,99.6272,-6.1903,56.3586,6.1707,-9.0177,18.7692,-6.5092,-4.0302,-3.1101,-6.3483,-1.3886,-8.8359
u_01,u,-178.4155,139.0303,24.0191,3.4472,5.7359,-5.5715,6.4911,12.1764,-4.2249,-5.8216,-1.5886,-8.9648,-7.0346
u_02,u,-164.8237,138.7928,21.7848,3.4355,3.5982,-6.9381,8.0971,11.4554,-4.5712,-3.1387,-0.5329,-8.4573,-5.0013
u_03,u,-164.9511,137.5598,21.9972,3.2376,4.7320,-5.6231,8.2463,11.9074,-4.6253,-3.9088,-0.2363,-7.8554,-4.8497
u_04,u,-164.9083,140.0630,22.0072,-0.8592,7.6509,-4.6731,1.3965,12.9159,-0.8363,-9.7444,-3.0874,-5.3087,-8.8105
u_05,u,-162.3168,138.6838,24.1196,4.2573,3.4727,-8.2870,5.4185,10.2284,-4.4141,-3.0362,-0.0788,-8.3397,-5.7509
u_06,u,-153.7323,143.6755,13.6702,-2.4330,9.0482,-5.0017,3.0709,12.2768,-4.2962,-10.6757,-2.4643,-3.5735,-5.1696
u_07,u,-161.4578,137.9832,22.7993,3.0936,4.2144,-6.5736,6.8973,11.4381,-4.6904,-4.7361,-1.2220,-8.5993,-5.4866
u_08,u,-159.9460,141.9646,21.2477,1.0389,4.1330,-8.9684,3.5617,12.2812,-3.1349,-5.6760,-1.1414,-8.1774,-7.6395
u_09,u,-153.6535,140.9239,13.8034,0.2399,7.0578,-4.7861,8.0206,11.2251,-7.5580,-8.9517,-2.7319,-6.0924,-3.7292
u_10,u,-171.0315,141.3372,23.0730,1.9494,5.9484,-7.8069,2.1643,11.9947,-2.5969,-6.6478,-0.8485,-6.8373,-8.1850
u_11,u,-171.6602,139.0102,20.5222,0.6495,5.7898,-5.7465,5.1610,11.7187,-5.2625,-8.4107,-2.4735,-8.0347,-6.9847
u_12,u,-165.5432,141.0989,16.4813,0.8852,6.5521,-5.3926,7.3814,11.8808,-6.2508,-8.2009,-2.8167,-7.4523,-4.9729
u_13,u,-160.8957,136.5439,19.1692,2.5552,6.0985,-3.6437,9.5664,11.3270,-6.2786,-5.5554,-1.2602,-7.4031,-3.7008
u_14,u,-166.5850,140.1569,21.3104,1.2720,7.0033,-6.0723,3.8354,13.3637,-2.0863,-6.6451,-0.1071,-5.3653,-6.9792
u_15,u,-168.3780,138.1963,18.0670,1.5562,5.2134,-4.1008,9.8522,10.6561,-8.2461,-7.9095,-3.4447,-8.4704,-3.6768
u_16,u,-166.5254,141.0669,19.8926,3.7244,3.8177,-7.6806,7.7257,10.4213,-5.4956,-3.7069,-1.1708,-8.1339,-4.5680
u_17,u,-170.6879,137.3147,23.9359,1.5636,5.4647,-5.3816,4.8693,12.7275,-3.0929,-8.1090,-3.4873,-9.6300,-9.4665
u_18,u,-179.1672,134.1559,29.4188,5.3327,4.3688,-5.7194,5.1680,10.6698,-3.7813,-5.3950,-2.1522,-10.4639,-9.1873
u_19,u,-168.5242,141.2976,15.5240,2.7985,6.6425,-5.3030,9.0115,11.4149,-6.3997,-6.5336,-2.2611,-7.6076,-4.6645
u_20,u,-164.2489,145.6799,15.4617,0.2755,5.6071,-8.9913,3.8276,11.9095,-4.0993,-7.3743,-2.0320,-6.2783,-6.1003
