clip,frame,ll_n,ll_g,ll_ou
clip09,6,-1.386,-3.183,-5.062
clip09,7,-1.455,-3.626,-5.659
clip09,8,-1.376,-2.958,-6.382
clip09,9,-2.499,-5.42,-1.949
clip09,10,-2.502,-5.679,-1.052
clip09,11,-5.134,-6.042,-1.922
clip09,12,-5.41,-5.772,-1.48
clip09,13,-4.535,-4.345,-0.839
clip09,14,-5.194,-5.998,-1.438
clip09,15,-6.0,-5.583,-1.516
clip09,16,-5.815,-6.546,-1.701
clip09,17,-5.374,-5.69,-1.822
clip09,18,-5.217,-5.538,-2.075
clip09,19,-5.031,-5.253,-0.738
clip09,20,-5.23,-6.09,-1.756
clip09,21,-5.001,-5.86,-1.796
clip09,22,-5.281,-5.554,-0.998
clip09,23,-5.783,-5.454,-1.927
clip09,24,-4.672,-6.212,-1.741
clip09,25,-4.365,-6.67,-1.811
clip09,26,-5.084,-5.545,-1.68
clip09,27,-4.293,-6.089,-1.897
clip09,28,-4.93,-6.121,-2.17
clip09,29,-5.02,-6.351,-1.479
clip09,30,-5.473,-5.503,-1.752
clip09,31,-4.722,-5.759,-1.96
clip09,32,-5.441,-5.679,-1.893
clip10,0,-3.481,-1.073,-4.941
clip10,1,-3.894,-1.55,-6.827
clip10,2,-3.107,-1.148,-4.706
clip10,3,-3.45,-1.707,-5.478
clip10,4,-3.361,-1.215,-4.984
clip10,5,-3.984,-1.481,-4.099
clip10,6,-3.357,-1.063,-6.222
clip10,7,-3.803,-1.275,-5.581
clip10,8,-2.027,-1.13,-5.831
clip10,9,-4.074,-1.82,-5.896
clip10,10,-4.553,-1.83,-6.216
clip10,11,-5.628,-2.867,-1.318
clip10,12,-5.911,-2.529,-1.561
clip10,13,-4.885,-3.475,-1.511
clip10,14,-4.71,-4.769,-1.429
clip10,15,-5.958,-5.042,-1.082
clip10,16,-5.465,-5.091,-0.871
clip10,17,-4.958,-5.012,-1.014
clip10,18,-5.723,-5.032,-1.591
clip10,19,-5.744,-5.873,-0.756
clip10,20,-6.318,-5.538,-1.802
clip10,21,-4.974,-4.591,-1.783
clip10,22,-5.963,-5.834,-1.729
clip10,23,-6.812,-5.281,-0.929
clip10,24,-5.46,-5.328,-1.207
clip10,25,-5.277,-5.937,-1.363
clip10,26,-6.946,-5.646,-1.272
clip10,27,-5.487,-5.9,-1.915
clip10,28,-5.836,-5.574,-1.715
clip10,29,-5.715,-5.178,-1.664
clip10,30,-5.715,-6.009,-1.179
clip10,31,-5.177,-4.356,-1.604
clip10,32,-6.807,-4.952,-1.648
clip10,33,-5.815,-5.582,-1.876
clip10,34,-5.344,-5.451,-1.892
clip10,35,-6.947,-6.165,-2.069
clip10,36,-6.206,-6.049,-1.107
clip10,37,-6.202,-5.58,-1.82
clip10,38,-5.257,-5.471,-1.446
clip10,39,-6.117,-5.489,-1.842
clip10,40,-5.19,-5.18,-1.832
